name,latitude,longitude
香江广场,40.024437,116.510871
鑫海韵通百货(密云店),40.130303,116.650134
春平广场,39.924261,116.451068
国泰百货(密云店),39.904179,116.407387
吉星德亿生活广场,39.731108,116.331763
诺德商街,39.826912,116.300812
梅源商厦,39.797848,116.419522
Plus365,39.904179,116.407387
新世纪新晨商场,40.075163,116.367663
北京缤纷汇购物中心,39.894014,116.459256
通厦公元99,40.047178,116.337194
物美玉蜓广场(玉蜓桥店),39.904179,116.407387
北京明发广场,39.68785,116.325612
中国第一商城,39.915663,116.470721
天美生活商城(明日嘉园店),39.829549,116.285636
国泰商业大厦(顺义店),31.862737,120.544836
水晶港生活广场,39.757598,116.337179
同观商业中心,39.980133,116.366446
强佑商厦,39.904179,116.407387
雅宝城Y19market,39.918306,116.441589
華聯购物中心(团结路店),40.028684,116.311258
沁春汇商业广场,40.05788,116.334777
京颐商场,39.932867,116.315028
云岗百货商场,39.809416,116.159395
肥桃生活广场(主语国际店),39.934152,116.324575
淘汇新天(王府井步行街店),39.91597,116.410627
清河百货商场,40.014954,116.294814
人民商场,39.904179,116.407387
怀柔商业大厦,40.314963,116.633369
东方天作商城,39.865903,116.662309
三羊生活广场,39.821879,116.523935
大通德昂淘宝城,39.883134,116.668658
亿发购物中心,39.783367,116.291624
延庆人民商场(东顺城街店),40.458957,115.975007
环贸新生活,39.904179,116.407387
老白广路商场,39.883617,116.358659
万德福广场,40.147772,117.093136
公园大道生活广场,40.103783,116.414384
新世纪商城(沙河店),39.904179,116.407387
白露广场,39.904179,116.407387
悦邻百姓广场,39.89441,116.309476
好友世界商场,39.911573,116.410757
京成广场,39.904179,116.407387
花园路百货商场,39.978673,116.365685
百分百购物中心(漷马路旧线店),39.762442,116.553645
丰科万达,39.904179,116.407387
城市广场,39.914628,116.502823
毛纺城市场(清河店),40.036117,116.335797
BHG Mall(肖家河店),40.029084,116.311151
精品购物中心,40.057692,116.330426
传奇生活广场,39.887205,116.476483
向日葵广场,39.937401,116.703642
华荣商场,39.910693,116.189459
西富港商城,36.683394,116.995777
国泰青春馆,39.904179,116.407387
绿缘商城,39.829549,116.285636
荣盛商业中心,39.904179,116.407387
亿利生态广场,39.914389,116.47074
正光天和商业广场(兴华大街店),39.756986,116.332842
枫尚奥特莱斯,39.912366,116.595752
北京帝园商城(黄村东大街店),39.732222,116.34055
佳莲时代广场,40.224295,116.230316
爱悦城,39.729923,116.141573
华睦生活广场,39.883596,116.324665
时代金街,39.846218,116.369845
绿色缤纷中央广场,39.765893,116.334122
华冠生活购物广场(窦店),39.726964,115.961669
亿达·圣元荟ONE PLAZA,39.907395,116.653725
百品尚购物中心(康庄店),40.373121,115.902105
万豪购物广场,39.904179,116.407387
日尚小商品商城,39.829549,116.285636
亿发购物中心(定泗路店),39.783367,116.291624
永兴商城,31.483418,119.890298
乐友易世达广场(易事达广场店),39.737211,116.339693
金泉港,40.004743,116.415432
西关购物广场,40.526395,116.157626
瑞嘉商场,40.374859,116.846384
当代商城A座(鼎城店),39.829549,116.285636
百佳商厦,40.46422,115.977012
玫瑰坊商业中心,39.904179,116.407387
鸿豪商业中心,39.920961,116.44139
蓝腾购物中心,39.726478,115.9611
北京市广安菜市口百货市场中心,39.730564,116.339317
赋霖商厦,39.851895,116.331514
百姓大润发购物广场,39.659495,116.639729
广丰购物,39.757373,116.317466
上街逛世界,39.904179,116.407387
客赛思,39.904179,116.407387
银河购物中心,29.003295,116.697545
华瀚商业中心,39.876371,116.49649
瑞程奥特莱斯,39.83314,116.368938
古隆盛服装百货生活广场(阳光华威市场店),39.858084,116.471323
四海金龙,40.526993,116.411992
奥新天地(双峪路店),34.390683,117.765054
金时代时尚购物中心(管庄路店),39.914062,116.591219
搜秀淘乐城(搜秀购物广场店),39.904179,116.407387
万鑫佰隆购物商城,39.916911,116.591607
西直河商业中心,39.844175,116.527509
富诺登生活广场,39.818493,116.549161
鑫之星购物中心,39.904179,116.407387
天蓝购物,39.904179,116.407387
亿兆百货,39.896716,116.397877
国药集团广场,39.904179,116.407387
易生活(立军路店),29.518125,106.504149
宛平城便民购物中心,39.852431,116.231927
世纪园商城(商业街店),40.314286,116.634772
胜达商业(青年路店),39.932169,116.516878
京力港商城,39.937501,116.104399
搜秀商城,39.904179,116.407387
方恒时尚中心,39.968286,116.340805
京泰购物广场,39.992998,116.462038
和嘉汇生活广场(当代商城店),36.191027,113.119651
耀莱新天地,39.915375,116.605772
双信商城(东关店),40.461942,115.981736
华发颐园商业中心,40.043611,116.414275
新世纪商城(东北路店),39.904179,116.407387
金泰商厦,39.918126,116.259416
华隆购物中心,39.904179,116.407387
亿达·奥特莱斯,39.699428,115.983839
宏鑫商城,39.674615,116.070471
半壁店商业广场,39.880818,116.637096
国营兴糖商场,39.722295,116.335506
吉龙商城,39.896168,116.396889
通厦·康达广场,39.923209,116.551337
永盛嘉禾购物中心,40.148246,116.562299
润福霖购物中心(采育店),39.835044,116.241355
天融休闲购物广场,39.904179,116.407387
奥士凯公司东直门商场,39.949153,116.435501
达人街商城,40.12147,116.646
荣和商业中心,40.053215,116.562375
首开智荟街,40.073134,116.33791
万泽经海广场,39.782265,116.562726
多隆购物广场,39.904179,116.407387
万龙商场(安立路店),39.993585,116.408166
新世纪商城汤山商场,40.17731,116.391671
新昌百商场,39.904179,116.407387
新世纪商城(大柳树村店),39.904179,116.407387
顺星商城,40.132405,116.428055
Q酷,39.904179,116.407387
华表商场,39.850355,116.220369
回龙尾货(港龙商业中心店),39.904179,116.407387
恒大国际广场,39.904179,116.407387
新世纪(三宫庙胡同店),39.808885,116.34303
双信大型百货商城(恒生超级批发市场店),40.466482,115.989576
世纪隆购物中心,40.147239,117.115629
西点mall(中鼎大厦店),39.967001,116.340566
宝迪商务中心,39.904179,116.407387
昌平八达岭奥特莱斯(万丰路店),40.234839,116.170269
金马商场(兴华中街),39.904179,116.407387
管庄购物城,39.912446,116.590592
枫尚生活广场(陈列馆路店),39.929636,116.672795
NTP新城广场,39.868456,116.421973
长丰园商业中心(南区店),39.781461,116.287846
西马庄商场,39.873203,116.568326
迎风商场,39.730741,115.956671
京汉生活广场,40.134829,116.66362
日上商厦,40.46122,116.00349
众仁达商城,31.79832,115.406894
碧泉商场,39.926456,116.161739
中福万合广场,39.909317,116.308093
房山商业大楼良乡商场(北关东路店),39.736475,116.142492
荣康绿地购物中心直营店(大兴绿地缤纷城西岸店),39.908761,116.307407
上科华联商厦(新华东街店),39.904179,116.407387
遛99三层美食街,40.652314,117.275094
兴业商业广场,40.082992,116.367137
新世纪商场(马池口店),39.904179,116.407387
金达商场(前门大街店),39.899808,116.400372
天兔文化生活广场,40.103783,116.414384
金锣湾商业中心,40.461855,115.976321
檀州大厦商场,40.375144,116.844469
大成国际(梅朵工厂店),39.900391,116.492735
隆华购物中心(杨镇分店),40.127856,116.651133
春成商场,40.212237,116.656205
中商华贸商厦,39.912562,116.598817
京东派(华北电力大学店),39.786059,116.555904
新时特购物广场,39.848824,116.319957
次渠购物中心,39.803972,116.569603
一起来生活MALL,40.220191,116.242945
家有购物中心,39.904179,116.407387
新来福三环新城(特许经营店),39.84829,116.30769
家庭号购物中心,40.196462,116.76937
孟庆海百货商城,40.536914,117.129473
燕鹏商厦,39.904179,116.407387
天圣发商业中心,39.911451,116.189182
瑞兴隆商业广场,39.844476,116.510956
布拉格,39.904179,116.407387
华谊生活广场,40.377581,116.846553
新世纪商场(上西路店),39.904179,116.407387
东升生活广场,39.758531,115.967144
永湖商业广场,39.893092,116.64271
梨园淘宝城新生活广场,40.362053,116.166286
惠美商厦(东外大街店),40.460508,115.979796
新世纪商城(半截塔村店),39.904179,116.407387
北京延庆万达广场,40.474098,115.984571
KALCITY能量城市,39.953787,116.280921
熙悦天街,39.732991,116.184867
兴天阳,39.904179,116.407387
金锣湾商业中心C座,40.461427,115.975326
首创郎园Station,39.968311,116.515924
恒基商城,39.90642,116.427673
天泰商场,39.889727,116.256064
庄胜崇光百货(宣武门店),39.89585,116.375013
后时代广场(梦秀欢乐广场店),39.994064,116.456967
朝外Men雅宝商城,39.921693,116.441864
