,name,longitude,latitude,belonging
403,方庄购物中心,116.4289883,39.865567,306
404,方恒时尚中心,116.340805,39.968286,208
405,方恒购物中心(望京小街店),116.48396,39.991442,325
406,日上商厦,116.00349,40.46122,164
407,日坛上街,116.443688,39.919079,221
408,日坛国际贸易中心,116.442274,39.919265,221
409,旧宫兴华五金交电商场,116.4408996,39.8045317,128
410,时代Life(方庄时代生活广场店),116.575769,39.894584,243
411,时代金街,116.369845,39.846218,294
412,旺角购物广场,116.463128,40.001401,235
413,旺铺街地下商城,116.112996,39.935523,279
414,昆仑·汇购物中心,116.4582159,39.9484684,233
415,昆泰商城,116.444574,39.923074,225
416,昌发展万科广场,116.315847,40.066232,123
417,昌平八达岭奥特莱斯(万丰路店),116.170269,40.234839,174
418,昌平县天宝商场,116.234345,40.269765,53
420,昕春光地下商城,116.6329773,40.3145605,172
422,春平广场,116.451068,39.924261,225
423,春成商场,116.656205,40.212237,9
424,晓月广场(金瑞天霖购物中心店),116.210173,39.845492,287
425,晓白楼五金机电商场,116.6715,39.908179,120
426,暖山生活,116.415407,40.031967,235
427,月恒正大新生活广场,116.312742,39.87886,289
428,朗福儿童广场,116.859365,40.377165,327
429,望京华彩商业中心,116.46782,40.010455,235
430,望京小街WALK,116.482352,39.989421,325
431,望京食尚街,116.481406,39.996655,250
432,望馨商业中心,116.462133,40.009085,235
433,朝外Men雅宝商城,116.441864,39.921693,221
434,朝林广场B座,116.50635,39.791818,85
435,朝阳商业大楼(西坝河中里社区店),116.439622,39.961836,219
436,朝阳大悦城,116.517717,39.924728,325
437,李老社区商业中心,116.635692,39.891105,120
438,来福士中心,116.432683,39.939697,218
439,来福士购物中心,116.43199,39.940146,218
440,杰通商场,116.34164,39.731901,130
441,极卓广场,116.644293,39.89169,120
442,林奥CITY PARK购物中心,116.427213,39.86647,306
443,枫尚奥特莱斯购物广场,117.094713,40.144868,157
444,枫尚生活广场(陈列馆路店),116.672795,39.929636,120
445,枫蓝国际购物中心,116.356605,39.952958,208
446,格兰仕,116.345054,39.717259,130
447,格林豪泰北京市大兴区榆垡镇新机场快捷酒店,116.33016,39.516504,92
448,梅源商厦,116.419522,39.797848,298
449,梦秀欢乐广场,116.456687,39.993893,235
450,梨园淘宝城新生活广场,116.166286,40.362053,54
451,棕榈泉生活广场,116.4788,39.931954,231
452,橙天购物,116.411955,40.1179097,4
453,檀州大厦商场,116.844469,40.375144,327
454,次渠购物中心,116.569603,39.803972,84
455,欧美汇购物中心,116.314045,39.979434,264
456,欧陆广场,116.546838,40.066852,27
457,欧陆时尚购物中心,116.54797,40.066875,27
458,正光天和商业广场(兴华大街店),116.332842,39.756986,130
459,正大中心,116.467852,39.912578,225
460,正泰电器,116.267656,40.132364,133
461,毕淘买生活广场,116.490901,39.975785,325
